id,price,property_type,room_type,accommodates,bedrooms,beds,bathrooms_text,amenities,review_scores_rating,number_of_reviews,neighbourhood_cleansed,flag_bedrooms,flag_beds,flag_review_scores_rating,n_bathrooms,flag_n_bathrooms,d_wifi,d_air_conditioning,d_kitchen,d_heating,d_washer,d_elevator,d_tv,ln_price
296960,845.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""stove"", ""free parking on premises"", ""kitchen"", ""outdoor dining area"", ""dryer"", ""dishes and silverware"", ""outdoor furniture"", ""washer"", ""elevator"", ""shared pool"", ""wifi"", ""tv with standard cable"", ""indoor fireplace"", ""cooking basics"", ""gym"", ""essentials"", ""dedicated workspace"", ""air conditioning"", ""refrigerator"", ""microwave"", ""hot water""]",4.9,56,Chatu Chak,0,0,0,1.0,0,1,1,1,0,1,1,1,6.739336627357174
384924,821.0,Entire condo,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""clothing storage"", ""ac - split type ductless system"", ""stove"", ""blender"", ""free parking on premises"", ""kitchen"", ""bed linens"", ""freezer"", ""wine glasses"", ""smoke alarm"", ""long term stays allowed"", ""dishes and silverware"", ""bread maker"", ""elevator"", ""books and reading material"", ""shared pool"", ""carbon monoxide alarm"", ""wifi"", ""shampoo"", ""hair dryer"", ""trash compactor"", ""city skyline view"", ""shared gym in building"", ""hot water kettle"", ""cooking basics"", ""dining table"", ""room-darkening shades"", ""shared backyard \u2013 fully fenced"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""host greets you"", ""refrigerator"", ""microwave"", ""hdtv with standard cable, dvd player"", ""hot water""]",4.92,96,Ratchathewi,0,0,0,1.0,0,1,0,1,0,0,1,1,6.710523109452428
385130,672.0,Entire rental unit,Entire home/apt,1,1.0,1.0,1 bath,"[""hangers"", ""free parking on premises"", ""cleaning products"", ""kitchen"", ""extra pillows and blankets"", ""window guards"", ""bidet"", ""bed linens"", ""smoke alarm"", ""long term stays allowed"", ""paid washer \u2013 in building"", ""mini fridge"", ""courtyard view"", ""dishes and silverware"", ""xiaomi induction stove"", ""drying rack for clothing"", ""carbon monoxide alarm"", ""hair dryer"", ""shampoo"", ""paid dryer \u2013 in building"", ""wifi"", ""first aid kit"", ""laundromat nearby"", ""free street parking"", ""portable heater"", ""rice maker"", ""self check-in"", ""hot water kettle"", ""private entrance"", ""cooking basics"", ""dining table"", ""cleaning available during stay"", ""body soap"", ""room-darkening shades"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""portable fans"", ""clothing storage: closet"", ""lockbox"", ""hot water"", ""microwave"", ""portable air conditioning"", ""paid parking lot off premises""]",4.61,434,Sathon,0,0,0,1.0,0,1,1,1,0,1,0,0,6.51025834052315
390611,739.0,Entire condo,Entire home/apt,4,0.0,2.0,1 bath,"[""iron"", ""hangers"", ""ac - split type ductless system"", ""free parking on premises"", ""cleaning products"", ""kitchen"", ""extra pillows and blankets"", ""toaster"", ""smoke alarm"", ""long term stays allowed"", ""dishes and silverware"", ""elevator"", ""carbon monoxide alarm"", ""ethernet connection"", ""wifi"", ""shampoo"", ""hair dryer"", ""laundromat nearby"", ""first aid kit"", ""tv with standard cable"", ""city skyline view"", ""induction stove"", ""self check-in"", ""hot water kettle"", ""cooking basics"", ""dining table"", ""cleaning available during stay"", ""single level home"", ""fire extinguisher"", ""essentials"", ""luggage dropoff allowed"", ""lockbox"", ""refrigerator"", ""microwave"", ""hot water""]",4.58,225,Khlong Toei,0,0,0,1.0,0,1,0,1,0,0,1,1,6.6052979209482015
393066,850.0,Entire rental unit,Entire home/apt,3,0.0,1.0,1 bath,"[""city skyline view"", ""fire extinguisher"", ""private patio or balcony"", ""paid washer \u2013 in building"", ""bed linens"", ""smoke alarm"", ""dining table"", ""portable heater"", ""fast wifi \u2013 86 mbps"", ""room-darkening shades"", ""long term stays allowed"", ""luggage dropoff allowed"", ""paid dryer \u2013 in building"", ""hair dryer"", ""courtyard view"", ""portable fans"", ""self check-in"", ""ski-in/ski-out \u2013 on a ski run"", ""mini fridge"", ""essentials"", ""free parking on premises"", ""private entrance"", ""hot water"", ""body soap"", ""bidet"", ""lockbox"", ""outdoor furniture"", ""safe"", ""shampoo"", ""mosquito net"", ""hot water kettle"", ""dedicated workspace"", ""paid parking lot off premises"", ""cleaning available during stay"", ""carbon monoxide alarm"", ""laundromat nearby"", ""hangers"", ""portable air conditioning"", ""free street parking"", ""cleaning products"", ""extra pillows and blankets"", ""first aid kit""]",4.53,481,Sathon,0,0,0,1.0,0,1,1,0,0,1,0,0,6.745236349484363
413824,698.0,Entire rental unit,Entire home/apt,1,1.0,1.0,1 bath,"[""hangers"", ""cleaning products"", ""kitchen"", ""extra pillows and blankets"", ""bidet"", ""window guards"", ""bed linens"", ""smoke alarm"", ""long term stays allowed"", ""paid washer \u2013 in building"", ""mini fridge"", ""courtyard view"", ""dishes and silverware"", ""xiaomi induction stove"", ""carbon monoxide alarm"", ""ethernet connection"", ""hair dryer"", ""shampoo"", ""paid dryer \u2013 in building"", ""laundromat nearby"", ""first aid kit"", ""city skyline view"", ""portable heater"", ""rice maker"", ""self check-in"", ""hot water kettle"", ""private entrance"", ""cooking basics"", ""dining table"", ""cleaning available during stay"", ""body soap"", ""room-darkening shades"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""portable fans"", ""lockbox"", ""hot water"", ""fast wifi \u2013 186 mbps"", ""microwave"", ""clothing storage: wardrobe"", ""portable air conditioning"", ""paid parking lot off premises""]",4.56,385,Sathon,0,0,0,1.0,0,1,1,1,0,1,0,0,6.548219102762372
428360,833.0,Entire rental unit,Entire home/apt,3,2.0,1.0,1 bath,"[""iron"", ""hangers"", ""kitchen"", ""dryer"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""hair dryer"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""smoking allowed"", ""essentials"", ""dedicated workspace"", ""air conditioning"", ""lockbox"", ""refrigerator"", ""hot water""]",4.54,36,Yan na wa,0,0,0,1.0,0,1,1,1,0,1,0,1,6.725033642166843
428421,738.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""kitchen"", ""bed linens"", ""dryer"", ""long term stays allowed"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""hair dryer"", ""free street parking"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""air conditioning"", ""lockbox"", ""refrigerator"", ""microwave"", ""paid parking off premises"", ""hot water""]",4.78,44,Bang Kho laen,0,0,0,1.0,0,1,1,1,0,1,0,1,6.6039438246004725
428950,800.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""extra pillows and blankets"", ""bed linens"", ""dryer"", ""dishes and silverware"", ""washer"", ""wifi"", ""shampoo"", ""hair dryer"", ""tv with standard cable"", ""self check-in"", ""cooking basics"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""air conditioning"", ""lockbox"", ""refrigerator"", ""hot water""]",4.6,134,Bang Kho laen,0,0,0,1.0,0,1,1,0,0,1,0,1,6.684611727667927
430691,801.0,Entire rental unit,Entire home/apt,2,1.0,1.0,1 bath,"[""iron"", ""hangers"", ""ac - split type ductless system"", ""extra pillows and blankets"", ""bed linens"", ""long term stays allowed"", ""dishes and silverware"", ""pets allowed"", ""wifi"", ""shampoo"", ""hair dryer"", ""tv with standard cable"", ""washer \u2013\u00a0in building"", ""self check-in"", ""cooking basics"", ""fire extinguisher"", ""essentials"", ""dedicated workspace"", ""luggage dropoff allowed"", ""dryer \u2013 in building"", ""private patio or balcony"", ""refrigerator"", ""lockbox"", ""microwave"", ""private backyard \u2013 fully fenced"", ""hot water""]",4.69,30,Bang Kho laen,0,0,0,1.0,0,1,0,0,0,1,0,1,6.68586094706836
